fund_code,related_sector
000008,中证500指数
000042,中证财通中国可持续发展100(ECPI ESG)指数
000051,沪深300指数
000055,纳斯达克100指数
000059,中证医药100指数
000071,恒生指数
000075,恒生指数
000076,恒生指数
000154,沪深300指数
000164,上证综合指数
000176,沪深300指数
000179,MSCI US REIT Index
000180,MSCI US REIT Index
000217,黄金9999
000216,黄金9999
000218,黄金9999
000248,中证主要消费指数
000307,黄金9999
000312,沪深300指数
000311,沪深300指数
000313,沪深300指数
000368,沪深300安中动态策略指数
000370,标普全球1200医疗保健指数
000376,细分医药
000373,细分医药
000369,标普全球1200医疗保健指数
000478,中证500指数
000512,沪深300指数
000596,中证军工指数
000593,标普全球高端消费品指数
000614,法兰克福DAX指数
000613,沪深300指数
000656,沪深300指数
000826,中证百度百发策略100指数
000827,中证百度百发策略100指数
000834,纳斯达克100指数
000835,富时中国A50指数
000929,黄金9999
000930,黄金9999
000942,中证全指信息技术指数
000950,沪深300非银行金融指数
000948,恒生指数
000961,沪深300指数
000962,中证500指数
000968,中证养老产业指数
000975,MSCI中国A股国际通指数
001016,沪深300指数
001015,沪深300指数
001021,iBoxx亚债中国指数
001023,iBoxx亚债中国指数
001027,中证大农业指数
001051,上证50指数
001052,中证500指数
001050,中证500指数
001064,中证环保产业指数
001093,纳斯达克生物科技指数
001092,纳斯达克生物科技指数
001113,大数据100指数
001133,中证全指可选消费指数
001149,恒生A股行业龙头指数
001180,中证全指医药卫生指数
001214,中证500指数
001237,上证50指数
001241,中证500指数
001243,中证淘金大数据100指数
001242,中证淘金大数据100指数
001344,沪深300医药卫生指数
001351,中证500指数
001361,中证科技传媒通信150指数
001397,中证精工制造指数
001420,大数据300指数
001426,大数据300指数
001455,中证500指数
001469,中证全指金融地产指数
001481,S&P Oil & Gas Exploration & Production Select Industry
001512,中债国债总财富(3-5年)指数
001539,中证金融地产指数
001549,上证50指数
001550,中证医药100指数
001548,上证50指数
001551,中证医药100指数
001552,中证证券保险指数
001553,中证证券保险指数
001557,中证500指数
001556,中证500指数
001588,中证800指数
001593,创业板指数(价格)
001594,中证银行指数
