related_sector,secid
中证500指数,1.000905
中证财通中国可持续发展100(ECPI ESG)指数,1.000846
沪深300指数,1.000300
纳斯达克100指数,100.NDX
中证医药100指数,1.000978
恒生指数,100.HSI
上证综合指数,1.000001
黄金9999,118.AU9999
中证主要消费指数,1.000932
沪深300安中动态策略指数,2.H30124
细分医药,1.000814
中证军工指数,0.399967
法兰克福DAX指数,100.GDAXI
中证百度百发策略100指数,1.000851
富时中国A50指数,100.XIN9
中证全指信息技术指数,1.000993
沪深300非银行金融指数,1.000849
中证养老产业指数,0.399812
MSCI中国A股国际通指数,2.716567
中证大农业指数,0.399814
上证50指数,1.000016
中证环保产业指数,1.000827
纳斯达克生物科技指数,251.NBI
大数据100指数,0.399415
中证全指可选消费指数,1.000989
恒生A股行业龙头指数,124.HSCAIT
中证全指医药卫生指数,1.000991
沪深300医药卫生指数,1.000913
中证科技传媒通信150指数,2.H30318
中证精工制造指数,2.H30531
大数据300指数,0.399416
中证全指金融地产指数,1.000992
中证金融地产指数,1.000992
中证证券保险指数,2.931479
中证800指数,1.000906
创业板指数(价格),0.399006
中证银行指数,0.399986
中证电子指数,2.930652
中证计算机主题指数,2.930651
中证食品饮料指数,2.930653
中证社会发展安全产业主题指数,2.H30372
中证360互联网+大数据100指数,2.930734
中证500信息技术指数,1.000858
中证上海国企指数,1.000865
中证500行业中性低波动指数,2.930782
中债7-10年国开行债券全价(总值)指数,
中债7-10年国开行债券财富(总值)指数,
中证兴业中高等级信用债指数,
中证1000指数,1.000852
标普500医疗保健等权重指数,100.SPX
标准普尔500指数,100.SPX
标普500信息科技指数,100.SPX
标普生物科技精选行业指数,
中证全指证券公司指数,0.399975
道琼斯美国石油开发与生产指数,107.IEO
中证南方小康产业指数,1.000901
深证成份指数(价格),0.399001
消费80,1.000069
深证100指数(价格),0.399330
深证电子信息传媒产业50指数,0.399610
央视财经50指数,0.399550
有色金属,1.000819
中证港股通高股息精选港元指数,2.930914
中证全指房地产指数,2.931775
上证中盘,1.000044
中证传媒指数,0.399971
中证全指汽车指数,2.931008
中证全指建筑材料指数,2.931009
深证100指数(收益),0.399330
巨潮100指数,0.399313
恒生综合中型股指数,124.HSMI
标普港股通低波红利指数,
中证全指家用电器指数,2.930697
中信标普中国A股红利机会指数,
中证基建工程指数,0.399995
创业板综合指数,0.399102
恒生中国企业指数,100.HSCEI
中证红利低波动指数,2.H30269
富时EPRA/NAREIT发达市场指数,
中债-1-3年农发行债券全价(总值)指数,
中证医药主题指数,1.000121
中证高端制造主题指数,2.930820
